Column1,Column2,chi
32,23,0.6418523806541334
32,24,0.6737962510201216
32,25,0.7019574088241505
32,26,0.7252773620415639
32,27,0.7450306120671842
32,28,0.7666366001829449
32,29,0.783161897177026
32,30,0.792113307128736
32,31,0.7892555420916925
33,0,0.273958072392056
33,1,0.2742555702461258
33,2,0.2901152311438977
33,3,0.29966896248757136
33,4,0.3115923925822555
33,5,0.3318202230186928
33,6,0.3470215763396186
33,7,0.3589803724264998
33,8,0.3652002481602005
33,9,0.39288879284574324
33,10,0.3908936952925374
33,11,0.41213465051731946
33,12,0.43588416032016747
33,13,0.45246506616757143
33,14,0.4607813833591539
33,15,0.4771028927631842
33,16,0.49844033521875103
33,17,0.533738890472027
33,18,0.5460014829922722
33,19,0.5593424889593718
33,20,0.5884301886009765
33,21,0.6029654661314618
33,22,0.635676733990599
33,23,0.6359303484759471
33,24,0.6679235112439618
33,25,0.6942144290461397
33,26,0.7183637857015278
33,27,0.735503600655511
33,28,0.7568207730701396
33,29,0.7794065875945029
33,30,0.7901969715132545
33,31,0.7859761737474319
33,32,0.7947745981749023
34,0,0.28253165063383334
34,1,0.2839494938254241
34,2,0.2992354076659597
34,3,0.30753423387518514
34,4,0.3206982898061319
34,5,0.3403485322450685
34,6,0.35588142211020657
34,7,0.3667635529996665
34,8,0.37380629836718027
34,9,0.3991359357522811
34,10,0.3956869645695694
34,11,0.4203132274415213
34,12,0.43947900273518375
34,13,0.4546645716731049
34,14,0.4626979464210037
34,15,0.4765680031892408
34,16,0.4998644430100829
34,17,0.5320626631673788
34,18,0.5454190877999724
34,19,0.5566832757045564
34,20,0.5845531312946072
34,21,0.6021450963261109
34,22,0.6319865475777099
34,23,0.6317723681230111
34,24,0.6598687978885683
34,25,0.6840064443017406
34,26,0.706473089632367
34,27,0.7261555610888942
34,28,0.7463327984612838
34,29,0.7724496234195082
34,30,0.7810618197408171
34,31,0.7819148365764251
34,32,0.7877646299093451
34,33,0.7927621078411082
35,0,0.2870604099739745
35,1,0.28961534264869215
35,2,0.30439558012845175
35,3,0.3123888625211359
35,4,0.3251927463428588
35,5,0.34520751832509927
35,6,0.359348256880373
35,7,0.3714088582348786
35,8,0.3779894336968092
35,9,0.40355944949190425
35,10,0.39988673944405184
35,11,0.4229159342479176
35,12,0.44336136104886614
35,13,0.4585443981883337
35,14,0.46556468232744497
35,15,0.48107529215691996
35,16,0.5037320713287523
35,17,0.5379198330389018
35,18,0.5496566446564584
35,19,0.5610923100996161
35,20,0.5894551700559334
35,21,0.6024491179863968
35,22,0.6319728596938381
35,23,0.6333741806938467
35,24,0.6593022409241506
35,25,0.6831759172548781
35,26,0.7038180817035613
35,27,0.7204609625711197
35,28,0.7446880414335372
35,29,0.7679454673655088
35,30,0.7777329412473971
35,31,0.7743940012119443
35,32,0.7816888020823222
35,33,0.7875893213855275
35,34,0.7929328252985535
36,0,0.2819875176881786
36,1,0.2826267533893951
36,2,0.29732805693641035
36,3,0.3049888358938021
36,4,0.3167972628038505
36,5,0.334317629434229
36,6,0.34999653391553137
36,7,0.36016431196873233
36,8,0.3646601794786513
36,9,0.38853197116093074
36,10,0.3853310036149963
36,11,0.40535442780299275
36,12,0.4255976543798877
36,13,0.4392938911333016
36,14,0.4434197226007503
36,15,0.4560299105630126
36,16,0.4767301465323799
36,17,0.5093653726164141
36,18,0.5209038258284222
36,19,0.5326008698032126
36,20,0.5585980040964574
36,21,0.572366191330923
36,22,0.6000380489696454
36,23,0.599095305388226
36,24,0.6234299896954584
36,25,0.6487394941815943
36,26,0.6686032548595084
36,27,0.6874851375718449
36,28,0.7083579292897588
36,29,0.7412878848015092
36,30,0.7501329423643347
36,31,0.7524971491633687
36,32,0.7635515673803153
36,33,0.7730015750746946
36,34,0.7827314461130102
36,35,0.7819345891902162
37,0,0.2761468454786387
37,1,0.2756327196845043
37,2,0.2892346205467851
37,3,0.2955479355793252
37,4,0.3089135614187847
37,5,0.32606159735332085
37,6,0.33944828517334047
37,7,0.3500308439375167
37,8,0.35300163123563655
37,9,0.376938647756028
37,10,0.37106711177218077
37,11,0.39179401074364223
37,12,0.41030909437108387
37,13,0.42252523366037753
37,14,0.42482552813972463
37,15,0.43554949907468615
37,16,0.45496932751347857
37,17,0.48638996007996194
37,18,0.4965322913177554
37,19,0.5092221841558255
37,20,0.5348542647326431
37,21,0.5475773067075221
37,22,0.5756194370133618
37,23,0.5709096846213992
37,24,0.5939049296848556
37,25,0.6162293036930286
37,26,0.6371723404746267
37,27,0.6571236508020232
37,28,0.6759795042739095
37,29,0.7126405725385162
37,30,0.722315084331886
37,31,0.7230777457990769
37,32,0.7352040636943241
37,33,0.7494008518768375
37,34,0.7594020183349923
37,35,0.76584457244423
37,36,0.7913409094788172
38,0,0.27130091618360036
38,1,0.2706202339533373
38,2,0.2840588138374636
38,3,0.2893340464248777
38,4,0.3024372026487581
38,5,0.31951259691277484
38,6,0.33410459005099447
38,7,0.3427941070900877
38,8,0.34657138817948663
38,9,0.3691063956526298
38,10,0.3635194938311518
38,11,0.382846222078253
38,12,0.4015133639605042
38,13,0.41165036845343855
38,14,0.41302987786110246
38,15,0.42316528604479137
38,16,0.4438791354794545
38,17,0.47372647761078823
38,18,0.48548965493719715
38,19,0.4955864292863319
38,20,0.5209576231557509
38,21,0.5349312357021438
38,22,0.5629535632325595
38,23,0.5591804058962577
38,24,0.5789680483452708
38,25,0.6021547529914891
38,26,0.6239780979144509
38,27,0.6416760551678308
38,28,0.66295244092967
38,29,0.6968459178162201
38,30,0.7068027129503207
38,31,0.7076415302255208
38,32,0.7216060695846876
38,33,0.7364161235802856
38,34,0.7468831265879576
38,35,0.7545923869102392
38,36,0.7870893710745855
38,37,0.7945173168107706
39,0,0.2712493042949997
39,1,0.2709120407614607
39,2,0.2837720966344033
39,3,0.2915611884546552
39,4,0.30342182873005996
39,5,0.32106034625725255
39,6,0.33528953325042
39,7,0.34361877439537275
39,8,0.3452636280235985
39,9,0.36726587102472597
39,10,0.362049489489649
39,11,0.38276119932908287
39,12,0.4001136176667635
39,13,0.41189051345490946
39,14,0.4125069096260364
39,15,0.4220035092214724
39,16,0.4416172792419036
39,17,0.47122242189151614
39,18,0.4818458766953638
39,19,0.49418111697477607
39,20,0.5180501260470367
39,21,0.5326471568127801
39,22,0.5588619143269149
39,23,0.554909060534354
39,24,0.5764585568295686
39,25,0.5984675756771929
39,26,0.6195724808561724
39,27,0.6367864426310573
39,28,0.6575887981796407
39,29,0.6894929898028392
39,30,0.69749133566313
39,31,0.7008038122333123
39,32,0.7124643887160433
39,33,0.7280629567683352
39,34,0.7383622037262167
39,35,0.7495047049961157
39,36,0.781044596219001
39,37,0.7927646184426692
39,38,0.7986240654147719
40,0,0.25300669439846607
40,1,0.2516408055187612
40,2,0.2650849279208663
40,3,0.2697091723297949
40,4,0.28209860865771713
40,5,0.2979927175866537
40,6,0.3105859056908349
40,7,0.31868280681375266
40,8,0.32204779895012686
40,9,0.3419675875122586
40,10,0.33709026238181977
40,11,0.35590333599004326
40,12,0.373011517899476
40,13,0.38296195708066305
40,14,0.3826142471786296
40,15,0.39466362211711625
40,16,0.41106423340289866
40,17,0.4422612321012938
40,18,0.45223922477640166
40,19,0.46417817853702614
40,20,0.48566103984820647
40,21,0.4983063633556305
40,22,0.5266568550842964
40,23,0.5204705178583978
40,24,0.5403493029665002
40,25,0.5586900926074106
40,26,0.5781516711209223
40,27,0.5977033844069962
40,28,0.6162667054145391
40,29,0.6515140963603657
40,30,0.6595254826368986
40,31,0.6622372131955174
40,32,0.6757645356245476
40,33,0.6914867157970951
40,34,0.7055316546730532
40,35,0.7152031733630448
40,36,0.7548449511307068
40,37,0.7782287547037169
40,38,0.7859120166738098
40,39,0.7928815054212035
41,0,0.2408982939657003
41,1,0.24046587808518868
41,2,0.25230269502534564
41,3,0.25735364740732036
41,4,0.26815007651076367
41,5,0.28497264037813896
41,6,0.2984042240233442
41,7,0.3062079026717257
41,8,0.30920312716299736
41,9,0.3287383288857644
41,10,0.3241287738568282
41,11,0.34276255173553244
41,12,0.3591045882536476
41,13,0.36989319787152025
41,14,0.37112911224718065
41,15,0.38399051602541434
41,16,0.40080401664286913
41,17,0.4305792266248502
41,18,0.43989289067649007
41,19,0.4512641738133131
41,20,0.4745440282247077
41,21,0.48657267531221543
41,22,0.5116415778016492
41,23,0.5094829034297788
41,24,0.5244631605546023
41,25,0.5459387332864767
41,26,0.5650240620010114
41,27,0.5840100833489714
41,28,0.6024852698437617
41,29,0.6362831317363101
41,30,0.6445722296715682
41,31,0.6497836892553639
41,32,0.659864580921418
41,33,0.6757816777363177
41,34,0.6919168062991451
41,35,0.6988498896739062
41,36,0.7408315712491833
41,37,0.766424084352431
41,38,0.7767793181933612
41,39,0.7816712482457656
41,40,0.7965644385952362
42,0,0.23104284694313837
42,1,0.2280989888546287
42,2,0.2400384093266308
42,3,0.24527250081705357
42,4,0.25551681132413395
42,5,0.2721168570122673
42,6,0.2831250426903031
42,7,0.29044598821990797
42,8,0.292179638425163
42,9,0.31113915906634537
42,10,0.30682329161244504
42,11,0.3223793377937173
42,12,0.3402771118692604
42,13,0.3480448198578497
42,14,0.3505987303699148
42,15,0.35861506088683337
42,16,0.3761965135825705
42,17,0.4058613355600638
42,18,0.41539994897814336
42,19,0.42492145432631573
42,20,0.44843662245959504
42,21,0.45935841047218795
42,22,0.4841956303325823
42,23,0.4803843628040254
42,24,0.495122524927409
42,25,0.5163587290776265
42,26,0.5331791063984499
42,27,0.5539042027356709
42,28,0.5714478452452348
42,29,0.6062495837100386
42,30,0.6127084745848088
42,31,0.6173450565156803
42,32,0.6319644949391844
42,33,0.6479029929701431
42,34,0.662567311662774
42,35,0.6703503404216934
42,36,0.7132452223689215
42,37,0.7432198321693028
42,38,0.7551247197388729
42,39,0.7667276723443146
42,40,0.7881890603471088
42,41,0.7945496876038461
43,0,0.20301930954238595
43,1,0.20295688726470656
43,2,0.21179726834426846
43,3,0.21544833580340833
43,4,0.22562399409002074
43,5,0.24169215930096957
43,6,0.25133798502686766
43,7,0.2583632585855645
43,8,0.2594597583036639
43,9,0.27564078642907913
43,10,0.2710852860257311
43,11,0.28706622230661116
43,12,0.3020511982470003
43,13,0.3107533370431227
43,14,0.3122424635691388
43,15,0.32067428146530075
43,16,0.33610072155445986
43,17,0.3655740968978182
43,18,0.37315983608925696
43,19,0.38447548430288014
43,20,0.404345166831554
43,21,0.415483570479958
43,22,0.43664574911705006
43,23,0.432812685920983
43,24,0.44748394720531326
43,25,0.4656756624202222
43,26,0.4840619991189117
43,27,0.5023608825246355
43,28,0.5223739829981406
43,29,0.5553975354485701
43,30,0.5642566559067553
43,31,0.5683616003604859
43,32,0.5838642108601094
43,33,0.5981255350558632
43,34,0.6122352563475446
43,35,0.6229443036714992
43,36,0.6676281347876593
43,37,0.6999592516947789
43,38,0.7107645788933873
43,39,0.726045536716594
43,40,0.7547898949117207
43,41,0.7676648266341204
43,42,0.7943402818109079
44,0,0.19514562258878917
44,1,0.19218519499070574
44,2,0.20349912274568988
44,3,0.20598270610152342
44,4,0.21597640660160164
44,5,0.23101443110860417
44,6,0.24079670591335336
44,7,0.24724701245339145
44,8,0.24710812395637585
44,9,0.2643324816049238
44,10,0.2573254787727214
44,11,0.2730586832680478
44,12,0.287317533677188
44,13,0.2966491360992497
44,14,0.29670827158815843
44,15,0.30510106656939934
44,16,0.32032392676326604
44,17,0.34663184345213754
44,18,0.3538934155294319
44,19,0.3634571264830587
44,20,0.3797071402051063
44,21,0.3906162306006414
44,22,0.40973057180434974
44,23,0.4059102986903965
44,24,0.4173742422700679
44,25,0.4344595598469651
44,26,0.4521247830300635
44,27,0.47105725562529926
44,28,0.488045396391105
44,29,0.5202210331644853
44,30,0.5296175097920685
44,31,0.5338617746956102
44,32,0.5463458041384123
44,33,0.5625786592329328
44,34,0.5759837317106022
44,35,0.5861808089070172
44,36,0.6275392984377431
44,37,0.6574538087040221
44,38,0.669465337086532
44,39,0.686242948947111
44,40,0.7190891113046084
44,41,0.734996579540814
44,42,0.7686024494353657
44,43,0.8021796225876534
45,0,0.19370120307110383
45,1,0.19238296788924225
45,2,0.20064575571889987
45,3,0.20540355807659627
45,4,0.21549099412471057
45,5,0.2301864156869824
45,6,0.23903487383604152
45,7,0.24488997737863905
45,8,0.24426479966270184
45,9,0.2603633696690651
45,10,0.2535623519994262
45,11,0.26987753437951023
45,12,0.2832099414269773
45,13,0.29120282695169114
45,14,0.291111639272576
45,15,0.2993107065719574
45,16,0.3130843949679183
45,17,0.3389720352034641
45,18,0.3467819323105063
45,19,0.3546144106322554
45,20,0.3725899787170528
45,21,0.3821568702455293
45,22,0.4020380349927012
45,23,0.3984884450061317
45,24,0.4081106208947899
45,25,0.4239713899930926
45,26,0.4401026967711815
45,27,0.4591379457831112
45,28,0.47597736583570766
45,29,0.5102116487901406
45,30,0.5181053915216671
45,31,0.5210216306910147
45,32,0.5348705209109749
45,33,0.5474499783011968
45,34,0.5616965347201449
45,35,0.5713433036436132
45,36,0.610008496783612
45,37,0.639076769472821
45,38,0.651699413007806
45,39,0.6669617023647723
45,40,0.6989113987396731
45,41,0.7186276939456051
45,42,0.7547920848560513
45,43,0.7950071186516529
45,44,0.8151410755957407
46,0,0.18223437800939918
46,1,0.1805924214471922
46,2,0.1886052730816245
46,3,0.19142154094770963
46,4,0.20281635749877752
46,5,0.21604016204713322
46,6,0.22395085060249606
46,7,0.23065438329823962
46,8,0.22923856126979436
46,9,0.24354813645278472
46,10,0.23764644969572774
46,11,0.2528910677289694
46,12,0.2666275855497237
46,13,0.2737826867869971
46,14,0.273129120499863
46,15,0.2810541196661987
46,16,0.29531325796558194
46,17,0.3195681071801827
46,18,0.3266422487826771
46,19,0.3346737118676099
46,20,0.3482530351560901
46,21,0.359225945514626
46,22,0.3760003447095005
46,23,0.37097000279522657
46,24,0.38055567582547295
46,25,0.39694421208012015
46,26,0.412068491422629
46,27,0.4308018180710571
46,28,0.44702307142022846
46,29,0.4791752296639352
46,30,0.4866919920541796
46,31,0.48909907805835773
46,32,0.5009852456809356
46,33,0.5150031354858159
46,34,0.52790150602033
46,35,0.5378379222594735
46,36,0.5737574693648758
46,37,0.6008675517046139
46,38,0.6134680322870538
46,39,0.628284972767033
46,40,0.6644770289779408
46,41,0.6842243505243262
46,42,0.723356738700536
46,43,0.7713215883063447
46,44,0.8038714037302248
46,45,0.8149927235628728
